URL,Nom,Type,Departement,Ville,Cap été,Cap hiver,Cheminée,Bois,Eau,Couchage,Rando
Details,cabane de bachebirou,Cabane ouverte,Haute-Pyrénées,Luz-Saint-Sauveur,0,0,,,,,
Details,refuge gai sourire,Cabane ouverte,Pyrénées-Orientales,Fenouillet,0,0,,,,,
Details,refuge callau,Cabane férmée,Pyrénées-Orientales,Mosset,30,30,,,,,
Details,refuge des espugues,Cabane ouverte,Ariège,Bethmale,8,8,Oui,,Oui,Bas flancs sur 3 étages + mate,le mont valier 2838m
Details,cabane d artigalonga,Cabane ouverte,Catalonia,Vilaller,10,10,Oui,Oui,Oui,,port de gelada pic de gelada pic d aubacs
Details,cabane de yese,Cabane ouverte mais ocupée par le berger l'été,Pyrénées-Atlantique,Etsaut,,,,,,,l escarpu
Details,cabane de narbeze,Cabane ouverte mais ocupée par le berger l'été,Pyrénées-Atlantique,Cette-Eygun,0,4,,Oui,,,pic anchet ronglet permayou
Details,cabane lucharry,Cabane ouverte mais ocupée par le berger l'été,Pyrénées-Atlantique,Etsaut,4,4,Oui,Oui,Oui,,soum d ypy
Details,refuge forestier de argoudeil,Cabane ouverte,Pyrénées-Orientales,Thuès-Entre-Valls,0,0,,,,,
Details,cabane de caoussis,Cabane ouverte,Ariège,Bordes-Uchentein,4,4,Oui,non,Oui,Bas flancs,mont vallier etang rond etang long
Details,refuge de courreau de benque,Cabane ouverte,Haute-Garonne,Benque-Dessous-et-Dessus,5,5,,,,,coume de herrere honteyde cap de la lit
Details,cabane edf,Cabane ouverte,Ariège,Orgeix,6,0,Oui,,,,
Details,cabane d ourdinse,Cabane ouverte,Pyrénées-Atlantique,Bedous,6,6,Oui,Oui,,,pic de teulere chebretou
Details,cabane coulibet,Cabane ouverte,Pyrénées-Orientales,Py,0,0,,,,,
Details,maison forestiere onf de mariailles,Cabane ouverte,Pyrénées-Orientales,Casteil,4,4,Oui,Oui,Oui,2 bat flancs,
Details,abri coma del tech,Cabane ouverte,Pyrénées-Orientales,Prats-de-Mollo-la-Preste,3,3,Oui,,,quelques planches en assez mau,
Details,cabane cums,Cabane ouverte,Pyrénées-Orientales,Prats-de-Mollo-la-Preste,0,0,,,,,
Details,cabane du ha,Cabane férmée,Pyrénées-Atlantique,Sarrance,0,0,,,,,mailh bassibe
Details,cabane du col d andurte,Cabane ouverte,Pyrénées-Atlantique,Escot,3,3,,Oui,Oui,,pic andurte roumendares
Details,cabane de la jasse des froncasses,Cabane ouverte,Pyrénées-Orientales,Le Tech,0,0,,,,,
Details,cabane de lameza,Cabane ouverte,Ariège,Seix,0,0,,,,,gr10 pic lasirouge
Details,cabane dets coubous,Cabane ouverte,Haute-Pyrénées,Barèges,5,5,Oui,,,Bas flancs,voir cabane d aygues cluses
Details,cabane d hortassy,Cabane ouverte mais ocupée par le berger l'été,Pyrénées-Atlantique,Borce,0,6,Oui,Oui,,,pic d arlet pic d aillary lac d arlet
Details,abri de nerech,"Orri, Toue, abri en pierre",Ariège,Bordes-Uchentein,5,5,,Oui,Oui,,
Details,abri du pla de la lau,Cabane ouverte,Ariège,Bordes-Uchentein,0,0,,,,,
Details,toue labassa,"Orri, Toue, abri en pierre",Haute-Pyrénées,Arrens-Marsous,4,4,Oui,,,"bas flanc en bois, 4 places",
Details,cabane d el trapal,Cabane ouverte,Aragon,Villan,0,0,,,,,
Details,sant jordi font del faig,Refuge gardé toute l'année,,,44,0,,,,,penyes altes de moixero 2 260 m comabona 2 530 m y parc natural del cadi moixero
Details,toue lac bleu,Cabane ouverte,Haute-Pyrénées,Beaucens,0,0,,,,,
Details,cabanes de camou,Cabane ouverte,Haute-Pyrénées,Barèges,,,,,,,lacs refuge de la glere refuge packe crete de la mourele
Details,cabane ressec,Ruine,Ariège,Rabat-les-Trois-Seigneurs,0,0,,,,,
Details,cabane belcaire,Cabane ouverte,Ariège,Auzat,0,0,,,,,
Details,orrie de la bentaillole,"Orri, Toue, abri en pierre",Ariège,Quérigut,0,0,,,,,etang querigut
Details,cabane col de bas,Cabane ouverte,Haute-Pyrénées,Sarrancolin,2,0,Oui,Oui,,,
Details,cabane barraque,Cabane ouverte,Haute-Pyrénées,Beaucens,0,0,,,,,
